epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2620.3,0.6604,0.47116,0.96841,0.9624,0.98576,0.99224,0.81685,0.71598,0.33738,1.01909,0.000349331,0.000349331,0.000349331
43,2682.56,0.65143,0.46769,0.96623,0.9675,0.98781,0.99251,0.83339,0.6835,0.33382,0.99626,0.00034351,0.00034351,0.00034351
44,2745,0.64216,0.4562,0.96179,0.97062,0.98227,0.99135,0.8315,0.69248,0.32639,1.00685,0.000337688,0.000337688,0.000337688
45,2807.57,0.64115,0.45917,0.95826,0.96379,0.97338,0.98777,0.8396,0.69101,0.34655,1.01654,0.000331867,0.000331867,0.000331867
46,2869.78,0.63596,0.4561,0.96185,0.96433,0.99251,0.99132,0.82925,0.70332,0.32803,1.01388,0.000326046,0.000326046,0.000326046
47,2932.32,0.63806,0.46083,0.96029,0.9694,0.97809,0.99017,0.84811,0.63916,0.32927,1.00417,0.000320225,0.000320225,0.000320225
48,2994.29,0.62991,0.4469,0.95929,0.97845,0.97643,0.99072,0.83187,0.69406,0.33106,1.01872,0.000314404,0.000314404,0.000314404
49,3056.79,0.62621,0.4518,0.95329,0.9682,0.95958,0.98164,0.82512,0.70009,0.35832,1.01431,0.000308582,0.000308582,0.000308582
50,3119.22,0.62218,0.44066,0.95608,0.96871,0.97473,0.98588,0.82905,0.69044,0.33584,0.99709,0.000302761,0.000302761,0.000302761
51,3181.63,0.61807,0.43736,0.95196,0.95088,0.97606,0.9895,0.82922,0.68582,0.33519,1.00284,0.00029694,0.00029694,0.00029694
52,3243.95,0.62286,0.44032,0.9532,0.97652,0.98187,0.99101,0.84466,0.65676,0.31572,0.99083,0.000291119,0.000291119,0.000291119
53,3306.45,0.61906,0.43716,0.9589,0.9706,0.98639,0.99059,0.83886,0.64385,0.3058,0.97699,0.000285298,0.000285298,0.000285298
54,3368.87,0.60983,0.4354,0.94825,0.98174,0.98329,0.99149,0.83801,0.66213,0.31556,0.9941,0.000279476,0.000279476,0.000279476
55,3431.48,0.6126,0.42936,0.94725,0.98348,0.98498,0.99123,0.83998,0.671,0.30135,1.01642,0.000273655,0.000273655,0.000273655
56,3493.9,0.60804,0.43567,0.94629,0.97859,0.98022,0.9898,0.84157,0.66086,0.3141,1.00904,0.000267834,0.000267834,0.000267834
57,3556.44,0.6056,0.42946,0.94378,0.98052,0.98749,0.99155,0.84081,0.65697,0.29672,0.99382,0.000262013,0.000262013,0.000262013
58,3618.99,0.60388,0.42733,0.94537,0.97434,0.98855,0.98978,0.85062,0.63664,0.30233,0.97386,0.000256192,0.000256192,0.000256192
59,3681.41,0.60275,0.42352,0.94408,0.97593,0.98553,0.99132,0.8467,0.65979,0.29585,1.00234,0.00025037,0.00025037,0.00025037
60,3743.8,0.59601,0.41509,0.94066,0.98062,0.98637,0.99274,0.85557,0.63199,0.29313,0.98214,0.000244549,0.000244549,0.000244549
61,3806.3,0.59742,0.4212,0.94357,0.9867,0.98187,0.99204,0.84793,0.64037,0.28697,0.98894,0.000238728,0.000238728,0.000238728
